記事番号,タイトル,URL,サマリー
0,オリックスが会計ソフトの弥生をＫＫＲに売却、2400億円－関係者,https://www.bloomberg.co.jp/news/articles/2021-12-11/R3Y1F8DWRGG501?srnd=cojp-v2,オリックスは、子会社の会計ソフト会社、 弥生（東京・千代田）を米投資ファンドのＫＫＲに売却する方針を固めた。事情に詳しい関係者によると、売却価格は約2400億円。オリックスは10月までに弥生の入札手続きを開始。ＫＫＲのほか、米ベイン・キャピタル、米ブラックストーンの３社が２次入札に進んでいた。弥生の売却については、11日付の日本経済新聞電子版が先に 報じていた。報道によると、弥生は個人事業主向けクラウド会計ソフトで約６割の市場シェアを握る。自動で最新版に更新されるこうしたソフトへのニーズは強く、弥生売却で得た資金は再生可能エネルギーや企業買収など、他の成長分野に充てるとみられるとしている。オリ
1,米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WIX3T1UM1001?srnd=cojp-v2,11月の米消費者物価指数（ＣＰＩ）は前年同月比で1982年以来の大きな伸びを示した。急速かつ持続的なインフレが消費者の実質所得に影響を及ぼしており、米金融当局に引き締めを求める圧力が強まりつつある状況が浮き彫りになった。キーポイント 11月の総合ＣＰＩは前年同月比6.8％上昇－前月は6.2％上昇 ブルームバーグ調査のエコノミスト予想中央値と一致 前月比では0.8％上昇－10月は0.9％上昇 市場予想0.7％上昇変動の大きい食品とエネルギーを除くコアＣＰＩは前年同月比4.9％上昇－30年ぶりの高い伸び、前月は4.6％上昇 市場予想に一致 前月比では0.5％上昇－10月は0.6％上昇 市場予想0.
2,インフレは紛れもなく存在、問題はいつまで続くか－QuickTake,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WJZOT1UM1501?srnd=cojp-v2,2021年初めには米連邦準備制度理事会（ＦＲＢ）や債券投資家が「一過性」と片付けていたインフレも、年終盤には1990年代初期以来の水準に高進。冷静を維持していたＦＲＢも軌道修正を示唆するようになった。それでも議論は終わらない。インフレは世界が平時に戻れば消えていくのか、それとも一人歩きしていくのか。１．今までの経緯新型コロナウイルス禍で記録的な景気低迷に陥った昨年序盤から１年後、多くの国ではワクチンの普及と巨額の政府支援で個人消費が上向いた。一方でサプライチェーンの回復には時間がかかり、自動車向けなどの半導体生産は需要に追いついていない。その結果、製品価格が急伸、航空料金やホテル代も跳ね上がっ
3,バイデン米大統領、インフレは「今がピーク」－今後急速に鈍化へ,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WOPWT0AFB701?srnd=cojp-v2,バイデン米大統領は10日、米国の物価上昇はすでにピークに達しており、この先は想定よりも速いペースで鈍化するとの考えを示した。この日発表された11月の米消費者物価指数（ＣＰＩ）は、前年同月比で約40年ぶりの大きな伸びを示した。米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率バイデン氏はホワイトハウスで記者団に対し、「今が危機のピークだ」と発言。「この状況は大半の人が考えているよりも早期に、かつ速いペースで変わるだろう」と述べた。雇用や生産の伸びを挙げ、「米経済におけるその他の側面はどれも急進展している」と指摘。その上で、「インフレは人々の生活に影響を及ぼしている」と語った。同氏はイ
4,Ｇ７財務相、13日にインフレについて協議する計画－関係者,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WRHKT0G1L001?srnd=cojp-v2,主要７カ国（Ｇ７）財務相は13日にオンライン形式で会合を開き、最近のインフレ高進について協議する。事情に詳しい関係者が明らかにした。米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率 (2)匿名を条件に語った関係者によると、会合ではヘルスケアに関する議論も予定されている。新型コロナウイルスの感染が報告されてから約２年となる中、各国が経済政策で協調する焦点が雇用の保護から、家計収入を圧迫するインフレ圧力の抑制へと移ったことをこの会議は示している。Price Pressure Energy inflation is soaring across G-7 economies Source
5,米政権が国外の石炭や石油、ガスプロジェクトへの連邦支援を停止,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WSA2T0AFB501?srnd=cojp-v2,バイデン米政権は石炭プラントなど炭素集約度の高い国外プロジェクトについて、連邦支援の即時停止を命じた。気候変動対策と世界的な再生可能エネルギーの普及加速を目指し、大きく政策をシフトさせた。広範にわたる今回の決定はこうしたプロジェクトへのあらゆる米政府支援を初めて禁じるもので、巨額の年間資金に加え、外交および技術面での援助にも影響が及ぶ可能性がある。この詳細はブルームバーグ・ニュースが入手した外交公電に記されている。同公電は先週、各国の米大使館に送信された。新たな政策にはただ、国家安全保障や外交政策上やむを得ない場合や、エネルギーへのアクセスが必要な地域への供給拡大など、重要な例外も含まれている
6,【米国市況】Ｓ＆Ｐ500最高値、ＣＰＩ受けて不安が和らぐ－ドル下落,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WZ3JT0G1KW01?srnd=cojp-v2,10日の米株式相場は反発し、Ｓ＆Ｐ500種株価指数が最高値を更新した。米インフレ統計が市場予想に一致し、金融当局が政策引き締めペースを加速させる必要はなくなったとの観測が広がった。米国株は反発、Ｓ＆Ｐ500種が最高値－ＣＰＩは市場予想に一致米国債おおむね続伸、10年債利回り1.49％ドル下落、米ＣＰＩ発表後－主要中銀の政策決定待ちＮＹ原油は反発、週間では８月以来の大幅高－コロナ懸念後退ＮＹ金は上昇、ＣＰＩ発表後に国債利回りとドルが下げるＳ＆Ｐ500種は前日比１％高の4712.02。ダウ工業株30種平均は216.30ドル（0.6％）高の35970.99ドル。ナスダック総合指数は0.7％上昇。11
7,ＳＢＩの新生銀へのＴＯＢが成立、出資比率は47.77％に上昇,https://www.bloomberg.co.jp/news/articles/2021-12-11/R3VZZIT0G1KW01?srnd=cojp-v2,ＳＢＩホールディングスは11日、10日に終了した 新生銀行への株式公開買い付け（ＴＯＢ）の結果を公表した。ＴＯＢは成立し、ＳＢＩの出資比率は議決権ベースで従来の約20％から47.77％に上昇する。ＳＢＩは買い付け下限を定めていなかった。取得額は約1138億円。ＳＢＩホールディングス本社に掲げられたグループロゴ（10月19日、都内） Photographer: Kiyoshi Ota/Bloomberg発表資料によると、応募は5692万2199株で、ＳＢＩが買い付け予定数の上限としていた約5821万1300株を下回った。ＴＯＢは９月10日から12月10日まで、１株当たり2000円の買い付け価格で
8,Ｇ７外相はロシアへの強力な警告で一致、ウクライナ巡り－米政府高官,https://www.bloomberg.co.jp/news/articles/2021-12-12/R3Z6IPDWRGG001?srnd=cojp-v2,主要７カ国（Ｇ７）はロシアがウクライナに侵攻すれば、プーチン大統領は重大な結果に直面するとの警告を発することで意見が一致しつつある。米国務省高官が11日、Ｇ７外相会合について匿名を条件に語った。英中部リバプールで始まった同会合の議論はロシアのウクライナ侵攻の脅威に関して、バイデン米大統領の公式のスタンスに沿ったものとなっている。バイデン政権はロシアが直面する結果について正式に公表していないが、国務省高官は必要ならそれは極めて迅速に実行に移されるだろうと語った。バイデン大統領は同日、ロシアがウクライナを攻撃すれば、同国は「壊滅的な」経済的制裁を受けることになろうと警告した。ロシア側はウクライナに
9,【新型コロナ】米国で感染者増加、ＥＵはオミクロン株死者なし,https://www.bloomberg.co.jp/news/articles/2021-12-12/R3ZFESDWRGG001?srnd=cojp-v2,米ジョンズ・ホプキンズ大学とブルームバーグの10日までの集計データによると、米国の今週の新型コロナウイルス感染者は平均で１日当たり約12万人に増加し、９月以降で最多となった。オミクロン変異株の感染者が25州余りで報告されるとともに、デルタ株が引き続き感染を押し上げている。欧州疾病予防管理センター（ＥＣＤＣ）によると、11日時点で欧州22カ国でオミクロン株感染者が合計732人確認された。大半は自国内での感染だという。また、すべて無症状か軽症で、オミクロン株に関連した死者は報告されていない。ＥＣＤＣは確認された症例が少なすぎるため、こうした数字は慎重に評価すべきだとしている。韓国が12日に報告した
